acq_date,id,path,acq_method,description,program_type,sequence_name,ch_filenames,uv_filenames
2023-02-07 14:10:47,z3-no-formic-acid,/Users/jonathan/0_jono_data/2023-02-07_14-10-47_Z3-NO-FORMIC-ACID-1.D,AVANTOR100X4_6C18-H2O-MEOH-2_1-NO-FA.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-07 12:01:43,z3,/Users/jonathan/0_jono_data/2023-02-07_12-01-43_Z3-1.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-07 11:22:37,blank,/Users/jonathan/0_jono_data/2023-02-07_11-22-37_BLANK-4.D,2023-02-07_BLANK.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-01 14:50:55,z3,/Users/jonathan/0_jono_data/2023-02-01_Z3_FOURTH_RUN_OF_THE_DAY.D,2023-01-25_WINE_GRADIENT_5.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-01 13:59:29,z3,/Users/jonathan/0_jono_data/2023-02-01_Z3_THIRD_RUN_OF_THE_DAY.D,2023-01-25_WINE_GRADIENT_5.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-01 13:08:10,z3,/Users/jonathan/0_jono_data/2023-02-01_Z3_SECOND_RUN_OF_THE_DAY.D,2023-01-25_WINE_GRADIENT_5.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-01 11:15:57,z3,/Users/jonathan/0_jono_data/2023-02-01_Z3_FIRST_RUN_OF_DAY.D,2023-01-25_WINE_GRADIENT_5.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-01-30 17:38:32,2,/Users/jonathan/0_jono_data/2023-01-30_WINES 2023-01-30 15-15-45.sequence/2.D,2023-01-25_WINE_GRADIENT_5.M,empty,sequence,2023-01-30_WINES 2023-01-30 15-15-45.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-01-30 16:50:56,1,/Users/jonathan/0_jono_data/2023-01-30_WINES 2023-01-30 15-15-45.sequence/1.D,2023-01-25_WINE_GRADIENT_5.M,empty,sequence,2023-01-30_WINES 2023-01-30 15-15-45.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-01-30 16:03:25,z2,/Users/jonathan/0_jono_data/2023-01-30_WINES 2023-01-30 15-15-45.sequence/Z2.D,2023-01-25_WINE_GRADIENT_5.M,empty,sequence,2023-01-30_WINES 2023-01-30 15-15-45.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
